District,Code,Party,first_name,last_name,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,biden_2020,trump_2020,dem_house_2020,rep_house_2020,white_%,black_%,latino_%,asian_%,native_%
California's 53rd,CA-53,Democratic,Sara,Jacobs,2020,1989,Woman,White - Non-Hispanic,Jewish,No,Open - Retired,66.95237455,30.88076308,40.49895777,0,47.9603423,8.323871242,27.17143464,13.13799884,0.2492453405
Colorado's 1st,CO-01,Democratic,Diana,DeGette,1996,1957,Woman,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,75.57481156,22.07779043,73.64609474,23.53039153,68.55738293,7.862147838,18.48014407,2.666234243,0.505253096
Colorado's 2nd,CO-02,Democratic,Joe,Neguse,2018,1984,Man,Black - Eritrean,Christian - Protestant,No,Won,63.71859618,33.63573174,61.45971303,35.40044564,87.53571692,0.8743992599,7.47414873,2.237577881,0.379888817
Colorado's 3rd,CO-03,Republican,Lauren,Boebert,2020,1986,Woman,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Open - Lost in primary,46.05142806,51.57844304,45.2162611,51.39162255,76.9977981,0.8282061273,18.81224005,0.7240007612,1.419005247
Colorado's 4th,CO-04,Republican,Ken,Buck,2014,1959,Man,White - Non-Hispanic,Christian - Protestant,No,Won,40.77876244,56.62905183,36.61175272,60.11403747,79.35782693,1.222888166,16.07582803,1.441485025,0.4793004901
Colorado's 5th,CO-05,Republican,Doug,Lamborn,2006,1954,Man,White - Non-Hispanic,Christian - Protestant,No,Won,41.75657612,54.6863176,37.37219795,57.58764312,76.55420168,5.613174552,12.36970958,2.284993826,0.4145113516
Colorado's 6th,CO-06,Democratic,Jason,Crow,2018,1979,Man,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Won,58.21072191,39.24659859,57.0876656,39.95502574,70.81125229,8.731565612,13.12704762,4.688761636,0.4315665401
Colorado's 7th,CO-07,Democratic,Ed,Perlmutter,2006,1953,Man,White - Non-Hispanic,Christian - Protestant,No,Won,59.96763084,37.12756683,59.12457166,37.59546308,72.82626317,1.580653877,20.7943799,2.737998739,0.6043411691
Connecticut's 1st,CT-01,Democratic,John,Larson,1998,1948,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,63.25194817,35.26650699,63.75842193,34.96508102,68.47969492,13.08153812,13.82883447,3.132673992,0.1011161295
Connecticut's 2nd,CT-02,Democratic,Joe,Courtney,2006,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,54.46511283,43.52915954,59.36636155,38.22093191,85.8934312,3.604506088,6.331108217,2.217527116,0.2640997386
