year,state_abbv,district_id,dem,winning_party,dem_last_name,rep_last_name,dem_margin,lag_dem_margin_lean,lag_dem_margin_lean_2,year_pvi_coef,pvi
2012,VT,VT.1,0.7403,D,SANDERS,MACGOVERN,0.4805999999999999,0.3025846544283946,0.23066024073144584,0.661545662580626,0.27824152464631685
2012,WA,WA.1,0.6045,D,CANTWELL,BAUMGARTNER,0.20900000000000007,0.09958465442839459,0.09756024073144585,0.661545662580626,0.0988994828319311
2012,WI,WI.1,0.5285,D,BALDWIN,THOMPSON,0.05699999999999994,0.0656846544283946,0.02846024073144585,0.661545662580626,0.05308589015476914
2012,WV,WV.1,0.6242,D,MANCHIN,RAESE,0.24839999999999995,-0.2089153455716054,-0.10493975926855414,0.661545662580626,-0.17372435740161524
2012,WY,WY.1,0.2225,R,CHESNUT,BARRASSO,-0.5549999999999999,-0.4066153455716054,-0.38163975926855415,0.661545662580626,-0.3981622500577458
2014,AK,AK.2,0.4886,R,BEGICH,SULLIVAN,-0.022800000000000042,-0.2967153455716054,-0.23983975926855416,0.656674683950375,-0.2771885169286026
2014,AR,AR.2,0.411,R,PRYOR,COTTON,-0.17800000000000005,-0.27881534557160537,-0.07403975926855415,0.656674683950375,-0.20851070268486305
2014,CO,CO.2,0.4897,R,UDALL,GARDNER,-0.02059999999999995,0.015584654428394601,-0.022639759268554153,0.656674683950375,0.002461245515078055
2014,DE,DE.2,0.5694,D,COONS,WADE,0.13880000000000003,0.17738465442839463,0.10126024073144585,0.656674683950375,0.15124921603679728
2014,GA,GA.2,0.4608,R,NUNN,PERDUE,-0.07840000000000003,-0.1280153455716054,-0.14243975926855415,0.656674683950375,-0.13296761196294088
2014,HI,HI.3,0.7158,D,SCHATZ,CAVASSO,0.4316,0.3844846544283946,0.11276024073144585,0.656674683950375,0.29119478421749057
2014,IA,IA.2,0.4565,R,BRALEY,ERNST,-0.08699999999999997,0.021584654428394606,0.017960240731445847,0.656674683950375,0.020340301450395084
2014,ID,ID.2,0.3467,R,MITCHELL,RISCH,-0.3066,-0.3359153455716054,-0.36183975926855416,0.656674683950375,-0.34481585309751156
2014,IL,IL.2,0.5564,D,DURBIN,OBERWEIS,0.11280000000000001,0.17928465442839459,0.12886024073144586,0.656674683950375,0.16197267665927262
2014,KY,KY.2,0.4202,R,GRIMES,MCCONNELL,-0.15959999999999996,-0.2401153455716054,-0.17553975926855414,0.656674683950375,-0.21794491199502047
2014,LA,LA.2,0.4407,R,LANDRIEU,CASSIDY,-0.11860000000000004,-0.2645153455716054,-0.12193975926855416,0.656674683950375,-0.21556553734314973
2014,MA,MA.2,0.6196,D,MARKEY,HERR,0.23920000000000008,0.18848465442839463,0.27956024073144586,0.656674683950375,0.2197532088802946
2014,ME,ME.2,0.3151,R,BELLOWS,COLLINS,-0.3698,0.10118465442839461,0.11636024073144585,0.656674683950375,0.10639481739212804
2014,MI,MI.2,0.5692,D,PETERS,LAND,0.13840000000000008,0.0919846544283946,0.05916024073144585,0.656674683950375,0.08071520222174602
2014,MN,MN.2,0.5533,D,FRANKEN,MCFADDEN,0.10660000000000003,0.029184654428394602,0.05986024073144585,0.656674683950375,0.039716359790897215
2014,MS,MS.2,0.3875,R,CHILDERS,COCHRAN,-0.22499999999999998,-0.2082153455716054,-0.16543975926855414,0.656674683950375,-0.1935294038849023
2014,MT,MT.2,0.4095,R,CURTIS,DAINES,-0.18100000000000005,-0.0988153455716054,-0.18533975926855414,0.656674683950375,-0.1285213672501188
2014,NC,NC.2,0.4919,R,HAGAN,TILLIS,-0.016199999999999992,-0.0721153455716054,-0.10013975926855415,0.656674683950375,-0.08173683626121576
2014,NE,NE.2,0.3286,R,DOMINA,SASSE,-0.3428,-0.2276153455716054,-0.31223975926855413,0.656674683950375,-0.2566690491496245
2014,NH,NH.2,0.5163,D,SHAHEEN,BROWN,0.03259999999999996,0.021984654428394604,0.03846024073144585,0.656674683950375,0.027641140302992546
2014,NJ,NJ.2,0.5688,D,BOOKER,BELL,0.13759999999999994,0.0818846544283946,0.09206024073144585,0.656674683950375,0.0853781908118799
2014,NM,NM.2,0.5556,D,UDALL,WEH,0.11119999999999997,0.0778846544283946,0.016660240731445848,0.656674683950375,0.05686476324593667
2014,OK,OK.2,0.2957,R,SILVERSTEIN,INHOFE,-0.40859999999999996,-0.3883153455716054,-0.28673975926855416,0.656674683950375,-0.35344187530118437
2014,OK,OK.3,0.2993,R,JOHNSON,LANKFORD,-0.4014,-0.3883153455716054,-0.28673975926855416,0.656674683950375,-0.35344187530118437
2014,OR,OR.2,0.6019,D,MERKLEY,WEHBY,0.20379999999999998,0.09288465442839461,0.06686024073144585,0.656674683950375,0.08394981437088349
2014,RI,RI.2,0.707,D,REED,ZACCARIA,0.4139999999999999,0.20858465442839458,0.23626024073144586,0.656674683950375,0.21808638384274834
2014,SC,SC.2,0.4168,R,HUTTO,GRAHAM,-0.1664,-0.16631534557160538,-0.14803975926855414,0.656674683950375,-0.16004087412811813
2014,SC,SC.3,0.3777,R,DICKERSON,SCOTT,-0.24460000000000004,-0.16631534557160538,-0.14803975926855414,0.656674683950375,-0.16004087412811813
2014,SD,SD.2,0.3694,R,WEILAND,ROUNDS,-0.2612,-0.1613153455716054,-0.19363975926855415,0.656674683950375,-0.17241313512022916
2014,TN,TN.2,0.34,R,BALL,ALEXANDER,-0.31999999999999995,-0.2280153455716054,-0.11903975926855415,0.656674683950375,-0.19060126796241716
2014,TX,TX.2,0.3582,R,ALAMEEL,CORNYN,-0.28359999999999996,-0.1941153455716054,-0.20553975926855414,0.656674683950375,-0.198037636014792
2014,VA,VA.2,0.5042,D,WARNER,GILLESPIE,0.008399999999999963,-0.01171534557160539,-0.05803975926855415,0.656674683950375,-0.0276196895449239
2014,WV,WV.2,0.3568,R,TENNANT,CAPITO,-0.2864,-0.2089153455716054,-0.10493975926855414,0.656674683950375,-0.17321789454266528
2014,WY,WY.2,0.1946,R,HARDY,ENZI,-0.6108,-0.4066153455716054,-0.38163975926855415,0.656674683950375,-0.3980405945105856
2016,AK,AK.3,0.2076,R,METCALFE,MURKOWSKI,-0.5848,-0.18649786598444865,-0.2967153455716054,0.651803705320124,-0.22487518398565148
2016,AL,AL.3,0.3593,R,CRUMPTON,SHELBY,-0.2814,-0.26449786598444863,-0.2932153455716054,0.651803705320124,-0.2744971859692416
2016,AR,AR.3,0.377,R,ELDRIDGE,BOOZMAN,-0.246,-0.2832978659844486,-0.27881534557160537,0.651803705320124,-0.2817370689858697
2016,AZ,AZ.3,0.4314,R,KIRKPATRICK,MCCAIN,-0.1372,-0.13249786598444863,-0.16171534557160538,0.651803705320124,-0.14267128411658153
2016,CO,CO.3,0.53,D,BENNET,GLENN,0.06000000000000005,0.014802134015551367,0.015584654428394601,0.651803705320124,0.015074604723814748
2016,CT,CT.3,0.6461,D,BLUMENTHAL,CARTER,0.2922,0.13530213401555136,0.1509846544283946,0.651803705320124,0.14076272951454488
2016,FL,FL.3,0.4602,R,MURPHY,RUBIO,-0.0796,-0.03139786598444863,-0.047015345571605395,0.651803705320124,-0.036835814508935215
2016,GA,GA.3,0.4282,R,BARKSDALE,ISAKSON,-0.14359999999999995,-0.11929786598444864,-0.1280153455716054,0.651803705320124,-0.12233326007564407
2016,HI,HI.3,0.7679,D,SCHATZ,CARROLL,0.5358,0.39390213401555135,0.3844846544283946,0.651803705320124,0.39062300251807996
2016,IA,IA.3,0.3724,R,JUDGE,GRASSLEY,-0.2552,0.01900213401555137,0.021584654428394606,0.651803705320124,0.019901358054238528
2016,ID,ID.3,0.2954,R,STURGILL,CRAPO,-0.4092,-0.36859786598444866,-0.3359153455716054,0.651803705320124,-0.35721793347589725
2016,IL,IL.3,0.5797,D,DUCKWORTH,KIRK,0.1594,0.13140213401555137,0.17928465442839459,0.651803705320124,0.1480746502032369
2016,IN,IN.3,0.4487,R,BAYH,YOUNG,-0.10260000000000002,-0.14419786598444861,-0.0650153455716054,0.651803705320124,-0.11662680577328297
